Player,Nation,Pos,Squad,90s,SCA,SCA90,PassLive,PassDead,Dribbles,Shots,Fouls,Def,GCA,GCA90
Patrick van Aanholt\Patrick-van-Aanholt,nl NED,DF,Crystal Palace,19.7,26,1.32,22,3,1,0,0,0,3,0.15
Tammy Abraham\Tammy-Abraham,eng ENG,FW,Chelsea,11.6,18,1.56,11,0,1,3,3,0,2,0.17
Che Adams\Che-Adams,sct SCO,FW,Southampton,29.6,66,2.23,48,0,1,6,8,3,8,0.27
Tosin Adarabioyo\Tosin-Adarabioyo,eng ENG,DF,Fulham,32.8,17,0.52,16,0,0,1,0,0,1,0.03
Adrián\Adrian,es ESP,GK,Liverpool,3,0,0,0,0,0,0,0,0,0,0
Sergio Agüero\Sergio-Aguero,ar ARG,FWMF,Manchester City,6.2,16,2.58,13,0,2,0,0,1,3,0.48
Ola Aina\Ola-Aina,ng NGA,DF,Fulham,29.6,26,0.88,22,2,0,0,1,1,4,0.14
Rayan Aït Nouri\Rayan-Ait-Nouri,fr FRA,DF,Wolves,15.6,30,1.92,19,3,7,0,1,0,2,0.13
Semi Ajayi\Semi-Ajayi,ng NGA,DF,West Brom,30.9,14,0.45,11,0,2,1,0,0,3,0.1
Nathan Aké\Nathan-Ake,nl NED,DF,Manchester City,8.9,3,0.34,2,0,0,0,1,0,0,0
Marc Albrighton\Marc-Albrighton,eng ENG,DFFW,Leicester City,19.4,71,3.66,53,5,4,1,2,6,11,0.57
Thiago Alcántara\Thiago-Alcantara,es ESP,MF,Liverpool,20.6,61,2.96,51,2,3,2,1,2,2,0.1
Toby Alderweireld\Toby-Alderweireld,be BEL,DF,Tottenham,24.9,19,0.76,16,0,0,3,0,0,3,0.12
Rúnar Alex Rúnarsson\Runar-Alex-Runarsson,is ISL,GK,Arsenal,0.2,0,0,0,0,0,0,0,0,0,0
Trent Alexander-Arnold\Trent-Alexander-Arnold,eng ENG,DF,Liverpool,33.7,123,3.65,78,32,7,6,0,0,13,0.39
Ezgjan Alioski\Ezgjan-Alioski,mk MKD,DF,Leeds United,27.3,57,2.08,49,3,0,3,2,0,6,0.22
Alisson\Alisson,br BRA,GK,Liverpool,33,5,0.15,5,0,0,0,0,0,0,0
Allan\Allan,br BRA,MF,Everton,22.8,38,1.67,32,0,4,1,1,0,2,0.09
Dele Alli\Dele-Alli,eng ENG,MF,Tottenham,6.9,22,3.19,18,0,0,1,2,1,3,0.44
Miguel Almirón\Miguel-Almiron,py PAR,MFFW,Newcastle Utd,27,63,2.33,47,1,6,3,4,2,4,0.15
Marcos Alonso\Marcos-Alonso,es ESP,DF,Chelsea,10.7,33,3.09,24,2,0,5,1,1,2,0.19
Steven Alzate\Steven-Alzate,co COL,MFDF,Brighton,10,25,2.51,20,1,1,3,0,0,1,0.1
Daniel Amartey\Daniel-Amartey,gh GHA,DF,Leicester City,8,5,0.62,5,0,0,0,0,0,0,0
Ethan Ampadu\Ethan-Ampadu,wls WAL,DFMF,Sheffield Utd,23.2,15,0.65,13,1,0,0,1,0,0,0
Joachim Andersen\Joachim-Andersen,dk DEN,DF,Fulham,30.3,26,0.86,24,0,0,1,0,1,2,0.07
Elliot Anderson\Elliot-Anderson,sct SCO,MF,Newcastle Utd,0,0,0,0,0,0,0,0,0,0,0
Felipe Anderson\Felipe-Anderson,br BRA,FWMF,West Ham,0,0,0,0,0,0,0,0,0,0,0
Michail Antonio\Michail-Antonio,eng ENG,FW,West Ham,21.9,65,2.96,34,1,8,7,15,0,11,0.5
Alphonse Areola\Alphonse-Areola,fr FRA,GK,Fulham,36,1,0.03,0,1,0,0,0,0,0,0
Stuart Armstrong\Stuart-Armstrong,sct SCO,MF,Southampton,30.7,82,2.67,58,3,6,5,6,4,15,0.49
Kepa Arrizabalaga\Kepa-Arrizabalaga,es ESP,GK,Chelsea,6.5,1,0.15,1,0,0,0,0,0,0,0
Pierre-Emerick Aubameyang\Pierre-Emerick-Aubameyang,ga GAB,FW,Arsenal,25.9,45,1.74,36,0,4,2,3,0,7,0.27
Serge Aurier\Serge-Aurier,ci CIV,DF,Tottenham,17.8,34,1.91,23,0,4,3,1,3,4,0.22
Charlie Austin\Charlie-Austin,eng ENG,FW,West Brom,1.5,1,0.65,0,0,1,0,0,0,0,0
Jordan Ayew\Jordan-Ayew,gh GHA,FWMF,Crystal Palace,23.3,33,1.42,23,0,2,2,5,1,7,0.3
Luke Ayling\Luke-Ayling,eng ENG,DF,Leeds United,37.8,49,1.3,38,2,3,2,3,1,4,0.11
César Azpilicueta\Cesar-Azpilicueta,es ESP,DF,Chelsea,24.3,42,1.73,40,1,0,0,0,1,4,0.16
Eric Bailly\Eric-Bailly,ci CIV,DF,Manchester Utd,10.2,3,0.29,3,0,0,0,0,0,1,0.1
Fabián Balbuena\Fabian-Balbuena,py PAR,DF,West Ham,13.3,2,0.15,2,0,0,0,0,0,0,0
George Baldock\George-Baldock,eng ENG,DF,Sheffield Utd,31,32,1.03,27,0,1,3,0,1,2,0.06
Gareth Bale\Gareth-Bale,wls WAL,FW,Tottenham,10.2,45,4.4,24,7,8,3,2,1,5,0.49
Patrick Bamford\Patrick-Bamford,eng ENG,FW,Leeds United,33.9,60,1.77,41,0,5,6,6,2,17,0.5
Phil Bardsley\Phil-Bardsley,sct SCO,DF,Burnley,3,3,0.99,1,0,1,0,1,0,0,0
Ross Barkley\Ross-Barkley,eng ENG,MF,Aston Villa,17,75,4.41,43,20,9,1,2,0,5,0.29
Ross Barkley\Ross-Barkley,eng ENG,MF,Chelsea,0.5,3,6.43,2,0,1,0,0,0,0,0
Ashley Barnes\Ashley-Barnes,eng ENG,FW,Burnley,14.8,36,2.43,25,0,0,5,4,2,2,0.14
Harvey Barnes\Harvey-Barnes,eng ENG,FWMF,Leicester City,21.6,68,3.15,44,0,8,7,8,1,8,0.37
Kyle Bartley\Kyle-Bartley,eng ENG,DF,West Brom,28.7,9,0.31,7,0,0,2,0,0,1,0.03
Chris Basham\Chris-Basham,eng ENG,DFMF,Sheffield Utd,28.6,22,0.77,18,0,2,0,2,0,1,0.03
Michy Batshuayi\Michy-Batshuayi,be BEL,FW,Crystal Palace,8.1,20,2.47,13,1,4,0,2,0,2,0.25
Jan Bednarek\Jan-Bednarek,pl POL,DF,Southampton,34.4,14,0.41,12,1,0,1,0,0,2,0.06
Donny van de Beek\Donny-van-de-Beek,nl NED,MFFW,Manchester Utd,5.8,12,2.06,10,0,1,0,1,0,2,0.34
Héctor Bellerín\Hector-Bellerin,es ESP,DF,Arsenal,23.2,41,1.77,37,1,0,2,1,0,7,0.3
