,x,y,teamId,playerId,playerName,matchId,type,date,team_name
2,1.60515873,0.042467279,8678,343316,Emiliano Marcondes,3619437,goal,8/6/2021 13:45,AFC Bournemouth
3,1.564814815,0.322751321,8678,591734,Dominic Solanke,3619437,shotBlocked,8/6/2021 13:45,AFC Bournemouth
11,1.685846561,0.032275132,8678,532743,Philip Billing,3619437,goal,8/6/2021 13:45,AFC Bournemouth
15,0.233465608,0.022082985,8678,674014,David Brooks,3619437,shotOT,8/6/2021 13:45,AFC Bournemouth
18,1.625330688,0.322751321,8678,532743,Philip Billing,3619437,shotBlocked,8/6/2021 13:45,AFC Bournemouth
19,1.161375661,0.283681424,8678,1171140,Jaidon Anthony,3619437,shotBlocked,8/6/2021 13:45,AFC Bournemouth
20,0.798280423,0.022082985,8678,591734,Dominic Solanke,3619437,shotOT,8/6/2021 13:45,AFC Bournemouth
68,17.92000802,0.071345029,10203,156937,Lyle Taylor,3619439,missed_shot,8/8/2021 10:30,Nottingham Forest
69,1.443783069,0.322751321,10203,471149,Joe Lolley,3619439,shotBlocked,8/8/2021 10:30,Nottingham Forest
70,1.141203704,0.322751321,10203,471149,Joe Lolley,3619439,shotBlocked,8/8/2021 10:30,Nottingham Forest
71,0.314153439,0.096825396,10203,156937,Lyle Taylor,3619439,goal,8/8/2021 10:30,Nottingham Forest
73,0.616732804,0.20384294,10203,1076756,Brennan Johnson,3619439,shotOT,8/8/2021 10:30,Nottingham Forest
74,4.068058942,1.851961325,10203,775614,Ryan Yates,3619439,missed_shot,8/8/2021 10:30,Nottingham Forest
76,0.536044974,0.322751321,10203,775614,Ryan Yates,3619439,shotBlocked,8/8/2021 10:30,Nottingham Forest
78,0.556216931,0.322751321,10203,471149,Joe Lolley,3619439,shotBlocked,8/8/2021 10:30,Nottingham Forest
80,0.818452381,0.322751321,10203,471149,Joe Lolley,3619439,shotBlocked,8/8/2021 10:30,Nottingham Forest
81,0,1.658857876,10203,471149,Joe Lolley,3619439,missed_shot,8/8/2021 10:30,Nottingham Forest
106,0.899140212,0.322751321,9879,522762,Joshua Onomah,3619441,shotBlocked,8/8/2021 7:30,Fulham
107,0.858796296,0.322751321,9879,963965,Fabio Carvalho,3619441,shotBlocked,8/8/2021 7:30,Fulham
108,0.596560847,0.462043997,9879,494417,Harry Wilson,3619441,shotOT,8/8/2021 7:30,Fulham
109,1.665674603,0.322751321,9879,469804,Kenny Tete,3619441,shotBlocked,8/8/2021 7:30,Fulham
110,3.928902116,0.11720969,9879,522762,Joshua Onomah,3619441,missed_shot,8/8/2021 7:30,Fulham
111,1.584986772,0.032275132,9879,494417,Harry Wilson,3619441,goal,8/8/2021 7:30,Fulham
112,4.020667989,0.11720969,9879,240478,Neeskens Kebano,3619441,missed_shot,8/8/2021 7:30,Fulham
115,0,0.11720969,9879,351860,Aleksandar Mitrovic,3619441,missed_shot,8/8/2021 7:30,Fulham
116,3.343712983,1.180696955,9879,963965,Fabio Carvalho,3619441,missed_shot,8/8/2021 7:30,Fulham
117,0.959656085,0.397493732,9879,240478,Neeskens Kebano,3619441,shotOT,8/8/2021 7:30,Fulham
118,0.233465608,0.322751321,9879,522762,Joshua Onomah,3619441,shotBlocked,8/8/2021 7:30,Fulham
119,0.717592593,0.322751321,9879,894805,Tyrese Francois,3619441,shotBlocked,8/8/2021 7:30,Fulham
120,3.645376669,0.424672791,9879,351860,Aleksandar Mitrovic,3619441,missed_shot,8/8/2021 7:30,Fulham
121,4.540674603,0.140991367,9879,240478,Neeskens Kebano,3619441,missed_shot,8/8/2021 7:30,Fulham
124,0,0.023781676,9879,262550,Bobby Reid,3619441,missed_shot,8/8/2021 7:30,Fulham
125,1.858603875,1.723225692,9879,351860,Aleksandar Mitrovic,3619441,missed_shot,8/8/2021 7:30,Fulham
222,1.706018519,0.322751321,9796,302785,Matthew Pearson,3619440,shotBlocked,8/7/2021 9:00,Huddersfield Town
223,0.878968254,0.409384571,9796,181234,Danny Ward,3619440,shotOT,8/7/2021 9:00,Huddersfield Town
224,0.65707672,0.322751321,9796,181234,Danny Ward,3619440,shotBlocked,8/7/2021 9:00,Huddersfield Town
226,1.282407407,0.322751321,9796,812982,Sorba Thomas,3619440,shotBlocked,8/7/2021 9:00,Huddersfield Town
228,2.800453515,0.424672791,9796,104258,Jordan Rhodes,3619440,missed_shot,8/7/2021 9:00,Huddersfield Town
229,0.798280423,0.536786408,9796,409816,Naby Sarr,3619440,goal,8/7/2021 9:00,Huddersfield Town
230,0.152777778,0.042467279,9796,1117779,Scott High,3619440,shotOT,8/7/2021 9:00,Huddersfield Town
